セクション,項目,奥德赛 2026款 2.0L e:HEV 锐·悦享版,奥德赛 2026款 2.0L e:HEV 锐·智享版,奥德赛 2026款 2.0L e:HEV 锐·领享版,奥德赛 2026款 2.0L e:HEV 锐·耀享版,奥德赛 2026款 2.0L e:HEV 锐·至尊版,奥德赛 2026款 2.0L e:HEV 锐·领享福祉版,奥德赛 2024款 2.0L e:HEV 锐·悦享版,奥德赛 2024款 2.0L e:HEV 锐·智享版,奥德赛 2024款 2.0L e:HEV 锐·领享版,奥德赛 2024款 2.0L e:HEV 锐·耀享版,奥德赛 2024款 2.0L e:HEV 锐·至尊版,奥德赛 2024款 2.0L e:HEV 锐·领享福祉版,奥德赛 2024款 2.0L e:HEV 锐·御享四座版
,厂商指导价(元),23.58万 计算器,27.58万 计算器,28.58万 计算器,29.98万 计算器,32.88万 计算器,34.08万 计算器,23.58万 计算器,27.58万 计算器,28.58万 计算器,29.98万 计算器,32.88万 计算器,34.08万 计算器,43.98万 计算器
,经销商报价,18.18万起 询底价,22.18万起 询底价,23.18万起 询底价,24.58万起 询底价,27.48万起 询底价,28.68万起 询底价,18.18万起 询底价,22.18万起 询底价,23.18万起 询底价,24.58万起 询底价,27.48万起 询底价,28.68万起 询底价,38.58万起 询底价
基本参数,厂商,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田
基本参数,级别,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06
基本参数,最大功率(kW),158,158,158,158,158,158,158,158,158,158,158,158,158
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门4座MPV
基本参数,发动机,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4
基本参数,电动机(Ps),184,184,184,184,184,184,184,184,184,184,184,184,184
基本参数,长*宽*高(mm),4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1712,4861*1820*1705
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),160,160,160,160,160,160,160,160,160,160,160,160,160
基本参数,WLTC综合油耗(L/100km),5.88,5.88,5.88,6.17,6.17,6.17,5.88,5.88,5.88,6.17,6.17,6.17,6.17
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1854,1879,1901,1967,1974,1950,1854,1879,1901,1945,1974,1950,1997
基本参数,最大满载质量(kg),2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2400
车身,长度(mm),4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861
车身,宽度(mm),1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
车身,高度(mm),1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1705
车身,轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,前轮距(mm),1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559
车身,后轮距(mm),1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
车身,接近角(°),15,15,15,15,15,15,15,15,15,15,15,15,14
车身,离去角(°),17,17,17,17,17,17,17,17,17,17,17,17,18
车身,最小转弯半径(m),5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
