セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L e HEV 鋭・悦享版,2026年モデル 2.0L e HEV 鋭・智享版,2026年モデル 2.0L e HEV 鋭・領享版,2026年モデル 2.0L e HEV 鋭・耀享版,2026年モデル 2.0L e HEV 鋭・至尊版,2026年モデル 2.0L e HEV 鋭・領享福祉版,2024年モデル 2.0L e HEV 鋭・悦享版,2024年モデル 2.0L e HEV 鋭・智享版,2024年モデル 2.0L e HEV 鋭・領享版,2024年モデル 2.0L e HEV 鋭・耀享版,2024年モデル 2.0L e HEV 鋭・至尊版,2024年モデル 2.0L e HEV 鋭・領享福祉版,2024年モデル 2.0L e HEV 鋭・御享四座版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"23.58万元（日本円 約4,951,800円）","27.58万元（日本円 約5,791,800円）","28.58万元（日本円 約6,001,800円）","29.98万元（日本円 約6,295,800円）","32.88万元（日本円 約6,904,800円）","34.08万元（日本円 約7,156,800円）","23.58万元（日本円 約4,951,800円）","27.58万元（日本円 約5,791,800円）","28.58万元（日本円 約6,001,800円）","29.98万元（日本円 約6,295,800円）","32.88万元（日本円 約6,904,800円）","34.08万元（日本円 約7,156,800円）","43.98万元（日本円 約9,235,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"18.18万元（日本円 約3,817,800円）","22.18万元（日本円 約4,657,800円）","23.18万元（日本円 約4,867,800円）","24.58万元（日本円 約5,161,800円）","27.48万元（日本円 約5,770,800円）","28.68万元（日本円 約6,022,800円）","18.18万元（日本円 約3,817,800円）","22.18万元（日本円 約4,657,800円）","23.18万元（日本円 約4,867,800円）","24.58万元（日本円 約5,161,800円）","27.48万元（日本円 約5,770,800円）","28.68万元（日本円 約6,022,800円）","38.58万元（日本円 約8,101,800円）"
基本参数,基本仕様,厂商,メーカー,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ
基本参数,基本仕様,级别,クラス,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),158,158,158,158,158,158,158,158,158,158,158,158,158
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア4人乗りMPV
基本参数,基本仕様,发动机,エンジン,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4,2.0L 146馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,184,184,184,184,184,184,184,184,184,184,184,184,184
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1712mm,4861×1820×1705mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160,160,160,160,160,160,160,160,160
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.88,5.88,5.88,6.17,6.17,6.17,5.88,5.88,5.88,6.17,6.17,6.17,6.17
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1854,1879,1901,1967,1974,1950,1854,1879,1901,1945,1974,1950,1997
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2400
车身,車体,长度(mm),全長(mm),4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861
车身,車体,宽度(mm),全幅(mm),1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
车身,車体,高度(mm),全高(mm),1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1705
车身,車体,轴距(mm),ホイールベース(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,車体,前轮距(mm),前トレッド(mm),1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559
车身,車体,后轮距(mm),後トレッド(mm),1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15,15,15,15,15,15,14
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,17,17,17,17,17,17,17,17,18
车身,車体,最小转弯半径(m),最小回転半径(m),5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 4人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,50,50,50,50,50,50,50,50,50
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）,LFB11（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),146,146,146,146,146,146,146,146,146,146,146,146,146
发动机,エンジン,最大功率(kW),最大出力(kW),107,107,107,107,107,107,107,107,107,107,107,107,107
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),175,175,175,175,175,175,175,175,175,175,175,175,175
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
发动机,エンジン,最大净功率(kW),最大出力(kW),107,107,107,107,107,107,107,107,107,107,107,107,107
发动机,エンジン,发动机特有技术,エンジン独自技術,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),135,135,135,135,135,135,135,135,135,135,135,135,135
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),315,315,315,315,315,315,315,315,315,315,315,315,315
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),135,135,135,135,135,135,135,135,135,135,135,135,135
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),315,315,315,315,315,315,315,315,315,315,315,315,315
电动机,モーター,系统综合功率(kW),システム総合出力(kW),158,158,158,158,158,158,158,158,158,158,158,158,158
