rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
1,轩逸,シルフィ,33323,,https://www.autohome.com.cn/448,7.99-17.49万,/autohome_images/001_轩逸.png,日产,日産
2,速腾,速騰(su teng),24622,1.0,https://www.autohome.com.cn/442,13.99-17.29万,/autohome_images/002_速腾.png,大众,フォルクスワーゲン
3,朗逸,ラヴィーダ,22310,-1.0,https://www.autohome.com.cn/614,8.00-15.19万,/autohome_images/003_朗逸.png,大众,フォルクスワーゲン
4,凯美瑞,カムリ,20517,5.0,https://www.autohome.com.cn/110,17.18-25.98万,/autohome_images/004_凯美瑞.png,丰田,トヨタ
5,RAV4荣放,RAV4,19712,1.0,https://www.autohome.com.cn/770,16.98-23.88万,/autohome_images/005_RAV4荣放.png,丰田,トヨタ
6,途观L,ティグアンL,19441,-1.0,https://www.autohome.com.cn/4274,18.68-26.68万,/autohome_images/006_途观L.png,大众,フォルクスワーゲン
7,帕萨特,パサート,18592,-3.0,https://www.autohome.com.cn/528,16.45-30.98万,/autohome_images/007_帕萨特.png,大众,フォルクスワーゲン
8,迈腾,マゴタン,17613,,https://www.autohome.com.cn/496,17.49-24.69万,/autohome_images/008_迈腾.png,大众,フォルクスワーゲン
9,奥迪A6L,A6L,16011,5.0,https://www.autohome.com.cn/18,42.79-65.68万,/autohome_images/009_奥迪A6L.png,奥迪,アウディ
10,探岳,タイロン,15999,,https://www.autohome.com.cn/4744,19.89-25.99万,/autohome_images/010_探岳.png,大众,フォルクスワーゲン
11,卡罗拉锐放,カローラクロス,15737,-4.0,https://www.autohome.com.cn/6428,12.68-18.48万,/autohome_images/011_卡罗拉锐放.png,丰田,トヨタ
12,本田CR-V,CR-V,14345,1.0,https://www.autohome.com.cn/314,18.59-26.39万,/autohome_images/012_本田CR-V.png,本田,ホンダ
13,锋兰达,フロントランダー,13715,-2.0,https://www.autohome.com.cn/6414,12.88-18.48万,/autohome_images/013_锋兰达.png,丰田,トヨタ
14,雅阁,アコード,13230,4.0,https://www.autohome.com.cn/78,17.98-23.88万,/autohome_images/014_雅阁.png,本田,ホンダ
15,奔驰E级,Eクラス,13103,10.0,https://www.autohome.com.cn/197,45.18-59.98万,/autohome_images/015_奔驰E级.png,奔驰,メルセデス・ベンツ
16,昂科威Plus,昂科威(ang ke wei)Plus,12772,1.0,https://www.autohome.com.cn/3554,22.99-25.99万,/autohome_images/016_昂科威Plus.png,别克,别克
17,宝马3系,3シリーズ,12569,-2.0,https://www.autohome.com.cn/66,31.99-39.99万,/autohome_images/017_宝马3系.png,宝马,BMW
18,途岳,途岳(tu yue),12371,-6.0,https://www.autohome.com.cn/4745,12.59-21.66万,/autohome_images/018_途岳.png,大众,フォルクスワーゲン
19,奥迪Q5L,Q5L,12315,5.0,https://www.autohome.com.cn/4851,34.98-42.98万,/autohome_images/019_奥迪Q5L.png,奥迪,アウディ
20,威兰达,ウィランダー,12166,-1.0,https://www.autohome.com.cn/5472,17.38-26.48万,/autohome_images/020_威兰达.png,丰田,トヨタ
21,亚洲龙,アバロン,11640,2.0,https://www.autohome.com.cn/4962,17.88-25.68万,/autohome_images/021_亚洲龙.png,丰田,トヨタ
22,奔驰GLC,GLC,11600,-1.0,https://www.autohome.com.cn/3862,42.78-53.13万,/autohome_images/022_奔驰GLC.png,奔驰,メルセデス・ベンツ
23,奔驰C级,Cクラス,10430,-7.0,https://www.autohome.com.cn/588,33.48-38.06万,/autohome_images/023_奔驰C级.png,奔驰,メルセデス・ベンツ
24,皓影,ブリーズ,9954,-4.0,https://www.autohome.com.cn/5393,18.59-26.39万,/autohome_images/024_皓影.png,本田,ホンダ
25,宝马5系,5シリーズ,9087,1.0,https://www.autohome.com.cn/65,43.99-52.59万,/autohome_images/025_宝马5系.png,宝马,BMW
26,铂智3X,鉑智(bo zhi)3X,9017,3.0,https://www.autohome.com.cn/7712,10.98-15.98万,/autohome_images/026_铂智3X.png,丰田,トヨタ
27,赛那SIENNA,シエナ,8168,,https://www.autohome.com.cn/6272,29.98-39.38万,/autohome_images/027_赛那SIENNA.png,丰田,トヨタ
28,宝马X3,X3,7998,2.0,https://www.autohome.com.cn/4658,34.99-44.99万,/autohome_images/028_宝马X3.png,宝马,BMW
29,奥迪A4L,A4L,7638,5.0,https://www.autohome.com.cn/692,28.98-36.28万,/autohome_images/029_奥迪A4L.png,奥迪,アウディ
30,逍客,キャシュカイ,7380,3.0,https://www.autohome.com.cn/564,12.59-17.49万,/autohome_images/030_逍客.png,日产,日産
31,卡罗拉,カローラ,7107,-3.0,https://www.autohome.com.cn/526,11.68-15.58万,/autohome_images/031_卡罗拉.png,丰田,トヨタ
32,别克GL8新能源,GL8,7017,6.0,https://www.autohome.com.cn/7658,24.99-41.99万,/autohome_images/032_别克GL8新能源.png,别克,别克
33,宝来,ボーラ,6982,-1.0,https://www.autohome.com.cn/633,11.29-14.39万,/autohome_images/033_宝来.png,大众,フォルクスワーゲン
34,日产N7,日产N7,6410,-12.0,https://www.autohome.com.cn/7935,11.99-14.99万,/autohome_images/034_日产N7.png,日产,日産
35,奥迪A3,奥迪A3,6017,4.0,https://www.autohome.com.cn/3170,16.59-20.99万,/autohome_images/035_奥迪A3.png,奥迪,アウディ
